Percentage served,Time in ms
0,0.142
1,0.150
2,0.150
3,0.151
4,0.151
5,0.151
6,0.152
7,0.152
8,0.152
9,0.153
10,0.154
11,0.154
12,0.155
13,0.156
14,0.156
15,0.156
16,0.157
17,0.157
18,0.157
19,0.158
20,0.158
21,0.159
22,0.159
23,0.160
24,0.160
25,0.161
26,0.161
27,0.162
28,0.162
29,0.162
30,0.163
31,0.163
32,0.163
33,0.163
34,0.164
35,0.164
36,0.164
37,0.164
38,0.164
39,0.164
40,0.165
41,0.165
42,0.165
43,0.165
44,0.165
45,0.165
46,0.165
47,0.166
48,0.166
49,0.166
50,0.166
51,0.166
52,0.167
53,0.167
54,0.167
55,0.167
56,0.168
57,0.168
58,0.168
59,0.168
60,0.169
61,0.169
62,0.169
63,0.169
64,0.170
65,0.170
66,0.170
67,0.170
68,0.170
69,0.171
70,0.171
71,0.171
72,0.171
73,0.171
74,0.172
75,0.172
76,0.172
77,0.172
78,0.173
79,0.173
80,0.174
81,0.174
82,0.175
83,0.175
84,0.176
85,0.176
86,0.177
87,0.178
88,0.179
89,0.180
90,0.181
91,0.182
92,0.184
93,0.186
94,0.189
95,0.193
96,0.199
97,0.210
98,0.235
99,0.262
