Percentage served,Time in ms
0,0.146
1,0.151
2,0.151
3,0.152
4,0.153
5,0.153
6,0.154
7,0.155
8,0.156
9,0.157
10,0.158
11,0.158
12,0.158
13,0.159
14,0.159
15,0.159
16,0.160
17,0.160
18,0.161
19,0.162
20,0.162
21,0.163
22,0.163
23,0.164
24,0.164
25,0.164
26,0.165
27,0.165
28,0.165
29,0.165
30,0.165
31,0.166
32,0.166
33,0.166
34,0.166
35,0.166
36,0.166
37,0.167
38,0.167
39,0.167
40,0.167
41,0.167
42,0.168
43,0.168
44,0.168
45,0.169
46,0.169
47,0.170
48,0.170
49,0.170
50,0.171
51,0.171
52,0.171
53,0.171
54,0.171
55,0.172
56,0.172
57,0.172
58,0.172
59,0.172
60,0.173
61,0.173
62,0.173
63,0.173
64,0.173
65,0.173
66,0.174
67,0.174
68,0.174
69,0.174
70,0.174
71,0.175
72,0.175
73,0.175
74,0.176
75,0.176
76,0.176
77,0.176
78,0.177
79,0.177
80,0.177
81,0.178
82,0.178
83,0.179
84,0.179
85,0.179
86,0.180
87,0.181
88,0.182
89,0.182
90,0.183
91,0.185
92,0.187
93,0.189
94,0.193
95,0.198
96,0.205
97,0.218
98,0.233
99,0.252
