Percentage served,Time in ms
0,0.142
1,0.148
2,0.149
3,0.150
4,0.151
5,0.151
6,0.151
7,0.152
8,0.152
9,0.153
10,0.154
11,0.154
12,0.155
13,0.156
14,0.156
15,0.157
16,0.157
17,0.158
18,0.158
19,0.159
20,0.159
21,0.159
22,0.160
23,0.160
24,0.161
25,0.161
26,0.162
27,0.162
28,0.162
29,0.163
30,0.163
31,0.163
32,0.163
33,0.164
34,0.164
35,0.164
36,0.164
37,0.165
38,0.165
39,0.165
40,0.165
41,0.165
42,0.166
43,0.166
44,0.166
45,0.166
46,0.166
47,0.167
48,0.167
49,0.167
50,0.167
51,0.168
52,0.168
53,0.168
54,0.168
55,0.169
56,0.169
57,0.169
58,0.170
59,0.170
60,0.170
61,0.171
62,0.171
63,0.171
64,0.172
65,0.172
66,0.172
67,0.173
68,0.173
69,0.173
70,0.173
71,0.174
72,0.174
73,0.174
74,0.175
75,0.175
76,0.175
77,0.175
78,0.176
79,0.176
80,0.176
81,0.177
82,0.177
83,0.178
84,0.178
85,0.179
86,0.179
87,0.180
88,0.181
89,0.182
90,0.183
91,0.185
92,0.187
93,0.189
94,0.192
95,0.196
96,0.203
97,0.217
98,0.236
99,0.256
