Percentage served,Time in ms
0,0.565
1,0.582
2,0.590
3,0.596
4,0.600
5,0.604
6,0.606
7,0.608
8,0.610
9,0.612
10,0.614
11,0.616
12,0.618
13,0.620
14,0.623
15,0.626
16,0.629
17,0.633
18,0.639
19,0.642
20,0.644
21,0.646
22,0.647
23,0.649
24,0.651
25,0.654
26,0.658
27,0.662
28,0.666
29,0.670
30,0.675
31,0.678
32,0.682
33,0.686
34,0.689
35,0.692
36,0.694
37,0.696
38,0.698
39,0.700
40,0.702
41,0.704
42,0.706
43,0.708
44,0.709
45,0.711
46,0.713
47,0.714
48,0.716
49,0.717
50,0.718
51,0.719
52,0.720
53,0.721
54,0.722
55,0.723
56,0.724
57,0.725
58,0.726
59,0.727
60,0.728
61,0.729
62,0.730
63,0.731
64,0.731
65,0.732
66,0.733
67,0.734
68,0.734
69,0.735
70,0.736
71,0.737
72,0.738
73,0.739
74,0.739
75,0.740
76,0.742
77,0.743
78,0.744
79,0.745
80,0.746
81,0.748
82,0.749
83,0.751
84,0.752
85,0.754
86,0.756
87,0.758
88,0.761
89,0.764
90,0.767
91,0.772
92,0.776
93,0.782
94,0.791
95,0.801
96,0.819
97,0.845
98,0.909
99,0.982
