Percentage served,Time in ms
0,1.336
1,1.389
2,1.401
3,1.410
4,1.417
5,1.424
6,1.429
7,1.435
8,1.440
9,1.444
10,1.448
11,1.452
12,1.455
13,1.458
14,1.462
15,1.466
16,1.470
17,1.473
18,1.476
19,1.480
20,1.483
21,1.486
22,1.488
23,1.491
24,1.494
25,1.497
26,1.500
27,1.503
28,1.505
29,1.508
30,1.510
31,1.512
32,1.515
33,1.517
34,1.519
35,1.522
36,1.524
37,1.526
38,1.529
39,1.531
40,1.533
41,1.536
42,1.538
43,1.541
44,1.544
45,1.546
46,1.549
47,1.551
48,1.554
49,1.557
50,1.560
51,1.562
52,1.565
53,1.568
54,1.571
55,1.573
56,1.576
57,1.578
58,1.581
59,1.584
60,1.587
61,1.589
62,1.592
63,1.595
64,1.597
65,1.600
66,1.603
67,1.606
68,1.609
69,1.612
70,1.615
71,1.618
72,1.621
73,1.625
74,1.630
75,1.634
76,1.638
77,1.642
78,1.648
79,1.653
80,1.660
81,1.666
82,1.673
83,1.678
84,1.686
85,1.694
86,1.701
87,1.709
88,1.716
89,1.724
90,1.732
91,1.740
92,1.753
93,1.768
94,1.787
95,1.810
96,1.843
97,1.929
98,2.267
99,2.462
