Percentage served,Time in ms
0,1.758
1,1.905
2,1.927
3,1.941
4,1.951
5,1.959
6,1.967
7,1.973
8,1.978
9,1.983
10,1.987
11,1.991
12,1.995
13,1.998
14,2.001
15,2.004
16,2.007
17,2.009
18,2.011
19,2.013
20,2.016
21,2.018
22,2.021
23,2.023
24,2.025
25,2.027
26,2.029
27,2.031
28,2.033
29,2.034
30,2.036
31,2.038
32,2.040
33,2.042
34,2.043
35,2.045
36,2.047
37,2.048
38,2.050
39,2.052
40,2.054
41,2.055
42,2.057
43,2.059
44,2.060
45,2.061
46,2.063
47,2.064
48,2.066
49,2.068
50,2.070
51,2.071
52,2.073
53,2.074
54,2.076
55,2.077
56,2.079
57,2.081
58,2.083
59,2.085
60,2.087
61,2.089
62,2.091
63,2.093
64,2.095
65,2.097
66,2.099
67,2.102
68,2.104
69,2.107
70,2.110
71,2.113
72,2.116
73,2.119
74,2.123
75,2.127
76,2.131
77,2.135
78,2.139
79,2.143
80,2.147
81,2.152
82,2.157
83,2.164
84,2.171
85,2.180
86,2.190
87,2.199
88,2.209
89,2.218
90,2.230
91,2.244
92,2.259
93,2.278
94,2.305
95,2.338
96,2.385
97,2.531
98,2.682
99,2.828
