Percentage served,Time in ms
0,1.662
1,1.733
2,1.802
3,1.857
4,1.892
5,1.929
6,2.011
7,2.040
8,2.056
9,2.070
10,2.080
11,2.089
12,2.096
13,2.103
14,2.109
15,2.114
16,2.118
17,2.123
18,2.127
19,2.131
20,2.135
21,2.139
22,2.143
23,2.146
24,2.149
25,2.152
26,2.155
27,2.158
28,2.161
29,2.165
30,2.168
31,2.171
32,2.175
33,2.177
34,2.180
35,2.183
36,2.186
37,2.190
38,2.192
39,2.195
40,2.199
41,2.202
42,2.205
43,2.208
44,2.211
45,2.214
46,2.217
47,2.220
48,2.222
49,2.225
50,2.228
51,2.231
52,2.234
53,2.237
54,2.240
55,2.243
56,2.246
57,2.249
58,2.251
59,2.254
60,2.257
61,2.260
62,2.263
63,2.266
64,2.269
65,2.272
66,2.275
67,2.278
68,2.281
69,2.284
70,2.286
71,2.289
72,2.291
73,2.295
74,2.297
75,2.301
76,2.303
77,2.307
78,2.310
79,2.313
80,2.317
81,2.321
82,2.325
83,2.329
84,2.333
85,2.339
86,2.344
87,2.350
88,2.355
89,2.362
90,2.369
91,2.376
92,2.387
93,2.401
94,2.421
95,2.456
96,2.510
97,2.632
98,2.865
99,3.037
