Percentage served,Time in ms
0,1.606
1,1.637
2,1.645
3,1.650
4,1.655
5,1.659
6,1.663
7,1.666
8,1.669
9,1.672
10,1.675
11,1.678
12,1.680
13,1.683
14,1.685
15,1.688
16,1.692
17,1.695
18,1.699
19,1.704
20,1.708
21,1.712
22,1.718
23,1.722
24,1.727
25,1.731
26,1.736
27,1.740
28,1.744
29,1.748
30,1.752
31,1.755
32,1.759
33,1.762
34,1.765
35,1.769
36,1.771
37,1.774
38,1.777
39,1.780
40,1.783
41,1.786
42,1.789
43,1.791
44,1.795
45,1.799
46,1.803
47,1.809
48,1.813
49,1.819
50,1.824
51,1.830
52,1.833
53,1.838
54,1.841
55,1.845
56,1.849
57,1.852
58,1.854
59,1.857
60,1.859
61,1.861
62,1.864
63,1.865
64,1.867
65,1.869
66,1.871
67,1.873
68,1.875
69,1.877
70,1.879
71,1.880
72,1.882
73,1.884
74,1.887
75,1.889
76,1.891
77,1.893
78,1.896
79,1.899
80,1.902
81,1.906
82,1.910
83,1.914
84,1.919
85,1.926
86,1.933
87,1.944
88,1.960
89,1.976
90,2.001
91,2.028
92,2.061
93,2.089
94,2.108
95,2.130
96,2.179
97,2.281
98,2.435
99,2.621
