Percentage served,Time in ms
0,1.742
1,1.825
2,1.932
3,1.969
4,2.041
5,2.075
6,2.093
7,2.106
8,2.116
9,2.124
10,2.131
11,2.137
12,2.142
13,2.148
14,2.152
15,2.157
16,2.162
17,2.166
18,2.170
19,2.174
20,2.178
21,2.181
22,2.184
23,2.187
24,2.191
25,2.194
26,2.197
27,2.200
28,2.203
29,2.206
30,2.209
31,2.211
32,2.214
33,2.217
34,2.220
35,2.223
36,2.226
37,2.229
38,2.231
39,2.234
40,2.237
41,2.240
42,2.242
43,2.245
44,2.248
45,2.251
46,2.253
47,2.256
48,2.259
49,2.262
50,2.264
51,2.267
52,2.269
53,2.272
54,2.275
55,2.278
56,2.281
57,2.284
58,2.287
59,2.290
60,2.293
61,2.296
62,2.299
63,2.302
64,2.305
65,2.308
66,2.311
67,2.314
68,2.317
69,2.320
70,2.323
71,2.326
72,2.330
73,2.333
74,2.336
75,2.339
76,2.343
77,2.346
78,2.350
79,2.353
80,2.357
81,2.361
82,2.366
83,2.370
84,2.375
85,2.379
86,2.383
87,2.389
88,2.395
89,2.402
90,2.409
91,2.418
92,2.426
93,2.441
94,2.458
95,2.489
96,2.552
97,2.696
98,2.933
99,3.075
