Percentage served,Time in ms
0,1.676
1,1.713
2,1.721
3,1.725
4,1.728
5,1.732
6,1.734
7,1.737
8,1.739
9,1.741
10,1.743
11,1.745
12,1.746
13,1.748
14,1.750
15,1.752
16,1.754
17,1.756
18,1.758
19,1.760
20,1.762
21,1.764
22,1.766
23,1.768
24,1.770
25,1.773
26,1.775
27,1.779
28,1.781
29,1.785
30,1.790
31,1.794
32,1.798
33,1.803
34,1.808
35,1.813
36,1.818
37,1.822
38,1.826
39,1.829
40,1.833
41,1.836
42,1.839
43,1.842
44,1.844
45,1.848
46,1.851
47,1.854
48,1.857
49,1.860
50,1.863
51,1.866
52,1.870
53,1.874
54,1.879
55,1.884
56,1.890
57,1.896
58,1.902
59,1.908
60,1.914
61,1.917
62,1.921
63,1.924
64,1.927
65,1.930
66,1.932
67,1.935
68,1.937
69,1.939
70,1.940
71,1.942
72,1.944
73,1.946
74,1.948
75,1.950
76,1.952
77,1.954
78,1.956
79,1.958
80,1.960
81,1.962
82,1.965
83,1.967
84,1.970
85,1.972
86,1.976
87,1.979
88,1.983
89,1.987
90,1.992
91,1.998
92,2.006
93,2.015
94,2.033
95,2.070
96,2.127
97,2.255
98,2.489
99,2.667
